Transaction ID,Medium,Date,Product Revenue
o553568025,organic,12/09/2017,$357.87 
o415180267,organic,18/08/2017,$357.03 
o612189490,organic,20/03/2018,$357.03 
o652232799,organic,12/01/2018,$357.03 
o457819686,organic,18/09/2017,$357.03 
o292642108,organic,16/05/2017,$357.03 
o218751301,organic,10/05/2018,$346.57 
o835529473,organic,25/03/2018,$343 
o559288501,organic,16/12/2017,$343 
o322011410,organic,9/07/2017,$343 
o1062084626,organic,3/09/2018,$343 
o1053297735,organic,25/06/2018,$343 
o428270276,organic,21/04/2017,$343 
o996318416,organic,10/06/2018,$343 
o787410123,organic,21/02/2018,$343 
o873063611,organic,27/08/2018,$343 
o643070036,organic,28/02/2018,$343 
o601038340,organic,23/03/2018,$342.80 
o933154311,organic,18/10/2018,$342.80 
o427994609,organic,4/05/2017,$342.80 
o288647050,organic,3/05/2017,$342.80 
o755789241,organic,9/04/2018,$342.80 
o497818517,organic,5/10/2018,$342.80 
o433346882,organic,9/07/2017,$342.80 
o1483772807,organic,15/11/2018,$342.80 
o463844475,organic,23/10/2017,$342.80 
o1453737020,organic,18/10/2018,$342.80 
o525408849,organic,27/03/2018,$342.80 
o211748325,organic,9/05/2017,$342.80 
o531052850,organic,3/09/2017,$342.80 
o417995433,organic,19/03/2017,$342.80 
o237620880,organic,8/06/2018,$342.80 
o559157973,organic,8/05/2018,$342.80 
o928146013,organic,21/05/2018,$342.80 
o867098035,organic,12/05/2018,$342.80 
o477859803,organic,6/10/2017,$342.80 
o462660301,organic,6/08/2017,$342.80 
o988001972,organic,15/06/2018,$342.80 
o661905800,organic,8/05/2018,$342.80 
o444210154,organic,16/10/2017,$342.80 
o1612879642,organic,22/11/2018,$342.80 
o839660303,organic,9/04/2018,$342.80 
o652566595,organic,20/03/2018,$342.80 
o480700259,organic,27/10/2017,$342.80 
o232270995,organic,6/06/2017,$342.80 
o951447212,organic,21/09/2018,$342.80 
o369962989,organic,6/05/2017,$342.80 
o332072640,organic,29/05/2017,$342.80 
o476945147,organic,30/09/2017,$342.80 
o433946763,organic,9/07/2017,$342.80 
o675518175,organic,3/02/2018,$342.80 
o500368692,organic,20/03/2018,$342.80 
o400778722,organic,8/01/2018,$342.80 
o1134740466,organic,9/10/2018,$342.80 
o577853176,organic,27/02/2018,$342.80 
o1044334400,organic,22/06/2018,$342.80 
o1283354395,organic,4/10/2018,$342.80 
o429511149,organic,25/04/2017,$342.80 
o764110402,organic,9/02/2018,$342.80 
o418240777,organic,14/10/2017,$342.80 
o438530320,organic,16/06/2017,$342.80 
o1075500883,organic,6/09/2018,$342.80 
